session,start_ts,outcome,first_chunk_s,total_s,to_stall_s,retries,trigger,stall_from_chunk_s,used_tokens_at_send,limit_tokens
S1,2026-09-10 02:25:15.867,S,15.4,514.1,,0,chat_finish,,324817,1000000
S1,2026-09-10 02:33:50.142,S,4.0,34.2,,0,chat_finish,,371340,1000000
S1,2026-09-10 03:09:58.595,S,17.4,65.8,,0,chat_finish,,373892,1000000
S1,2026-09-10 08:06:35.232,S,32.7,112.0,,0,chat_finish,,378415,1000000
S1,2026-09-10 08:18:49.796,S,39.0,455.0,,0,chat_finish,,385659,1000000
S1,2026-09-10 08:44:10.207,S,53.4,1098.9,,0,chat_finish,,409054,1000000
S1,2026-09-10 09:14:25.447,S,50.6,127.9,,0,chat_finish,,419167,1000000
S1,2026-09-10 09:35:29.638,S,51.2,211.8,,0,chat_finish,,423904,1000000
S1,2026-09-10 09:49:12.174,S,52.5,145.1,,0,chat_finish,,435698,1000000
S1,2026-09-10 09:55:55.704,S,97.7,137.2,,0,chat_finish,,441942,1000000
S1,2026-09-10 10:05:19.410,S,117.7,150.0,,0,chat_finish,,445632,1000000
S1,2026-09-10 10:14:14.012,S,56.0,118.1,,0,chat_finish,,448619,1000000
S1,2026-09-10 10:46:51.411,S,55.8,558.6,,0,chat_finish,,452447,1000000
S1,2026-09-10 11:02:15.180,T,125.3,,125.3,0,resume_tool_call,0.0,490789,1000000
S1,2026-09-10 11:02:15.180,T,125.3,,214.3,0,resume_tool_call,89.1,490789,1000000
S1,2026-09-10 11:02:15.180,T,125.3,,334.3,0,resume_tool_call,209.0,490789,1000000
S1,2026-09-10 11:02:15.180,T,125.3,,4860.7,0,resume_tool_call,4735.5,490789,1000000
S1,2026-09-10 11:02:15.180,U,125.3,7243.8,,0,user_cancel,,490789,1000000
S2,2026-09-10 11:09:36.821,S,36.6,482.3,,0,chat_finish,,317802,1000000
S3,2026-09-10 12:14:03.845,S,2.1,3.0,,0,chat_finish,,,
S2,2026-09-10 12:29:19.132,S,36.7,168.2,,0,chat_finish,,355481,1000000
S3,2026-09-10 12:31:50.484,S,2.3,41.0,,0,chat_finish,,22069,1000000
S2,2026-09-10 12:54:10.719,S,44.1,87.3,,0,chat_finish,,367465,1000000
S2,2026-09-10 12:57:56.040,S,7.0,69.9,,0,chat_finish,,370878,1000000
S1,2026-09-10 13:03:04.384,T,127.1,,127.1,0,resume_tool_call,0.0,494193,1000000
S1,2026-09-10 13:03:04.384,U,127.1,582.2,,0,user_cancel,,494193,1000000
S2,2026-09-10 13:03:34.707,S,45.6,246.8,,0,chat_finish,,375789,1000000
S1,2026-09-10 13:12:59.267,S,8.4,10.1,,0,chat_finish,,117153,1000000
S2,2026-09-10 13:13:17.569,S,46.0,182.8,,0,chat_finish,,382393,1000000
S3,2026-09-10 13:27:48.679,S,2.8,3.7,,0,chat_finish,,29144,1000000
S3,2026-09-10 13:28:25.197,S,1.3,1.6,,0,chat_finish,,29260,1000000
S2,2026-09-10 13:29:37.064,S,47.5,105.5,,0,chat_finish,,394542,1000000
S2,2026-09-10 13:38:33.506,S,52.0,100.5,,0,chat_finish,,401688,1000000
S2,2026-09-10 13:44:12.496,S,116.1,152.2,,0,chat_finish,,404886,1000000
S2,2026-09-10 13:54:44.318,S,8.6,73.7,,0,chat_finish,,409286,1000000
S3,2026-09-10 13:56:39.107,S,2.6,20.3,,0,chat_finish,,29362,1000000
S2,2026-09-10 13:57:24.368,S,8.5,124.2,,0,chat_finish,,412717,1000000
S3,2026-09-10 13:59:45.400,S,6.9,234.4,,0,chat_finish,,38088,1000000
S2,2026-09-10 14:00:59.797,S,7.2,393.2,,0,chat_finish,,414613,1000000
S3,2026-09-10 14:07:51.413,S,10.9,25.7,,0,chat_finish,,80663,1000000
S2,2026-09-10 14:07:58.190,S,7.7,245.5,,0,chat_finish,,418065,1000000
S3,2026-09-10 14:14:53.090,T,7.9,,55.3,0,permission_request,47.3,82018,1000000
S3,2026-09-10 14:14:53.090,S,7.9,434.9,,1,chat_finish,,82018,1000000
S2,2026-09-10 14:15:09.757,S,52.3,71.9,,0,chat_finish,,421617,1000000
S2,2026-09-10 14:17:24.220,S,11.0,512.5,,0,chat_finish,,423049,1000000
S3,2026-09-10 14:28:22.878,S,28.0,117.0,,0,chat_finish,,251788,1000000
S2,2026-09-10 14:28:48.926,S,115.8,138.4,,0,chat_finish,,425368,1000000
S3,2026-09-10 14:31:46.345,S,5.1,85.7,,0,chat_finish,,268456,1000000
S2,2026-09-10 14:31:55.961,S,54.5,349.6,,0,chat_finish,,427303,1000000
S3,2026-09-10 14:38:15.480,S,6.2,49.9,,0,chat_finish,,318727,1000000
S2,2026-09-10 14:41:32.932,S,17.6,101.6,,0,chat_finish,,430808,1000000
S3,2026-09-10 14:46:58.284,S,17.6,20.2,,0,chat_finish,,323270,1000000
S3,2026-09-10 15:15:02.585,S,17.1,17.9,,0,chat_finish,,323737,1000000
S2,2026-09-10 15:15:37.487,S,20.8,99.3,,0,chat_finish,,437180,1000000
S2,2026-09-10 15:18:06.051,S,21.1,68.8,,0,chat_finish,,447129,1000000
S3,2026-09-10 15:22:10.228,S,37.3,124.3,,0,chat_finish,,323888,1000000
S3,2026-09-10 15:27:34.426,S,21.2,44.6,,0,chat_finish,,332073,1000000
S3,2026-09-10 15:33:00.362,T,38.5,,177.7,0,permission_request,139.3,334991,1000000
S3,2026-09-10 15:33:00.362,S,38.5,343.6,,1,chat_finish,,334991,1000000
S3,2026-09-10 15:39:20.212,S,7.4,47.9,,0,chat_finish,,348008,1000000
S3,2026-09-10 15:41:18.572,S,20.9,68.8,,0,chat_finish,,351311,1000000
S3,2026-09-10 15:50:48.028,S,17.2,67.4,,0,chat_finish,,354423,1000000
