session,start_ts,outcome,first_chunk_s,total_s,to_stall_s,retries,trigger,stall_from_chunk_s,used_tokens_at_send,limit_tokens
S1,2026-09-01 09:48:05.322,F,,0.3,,0,chat_finish,,,
S1,2026-09-01 09:48:25.148,S,1.2,32.6,,0,chat_finish,,,
S1,2026-09-01 09:51:24.276,S,2.7,44.8,,0,chat_finish,,13136,1000000
S1,2026-09-01 10:29:58.977,S,2.3,23.6,,0,chat_finish,,26087,200000
S1,2026-09-01 10:32:00.339,S,2.0,17.1,,0,chat_finish,,18470,1000000
S1,2026-09-01 10:37:45.058,S,2.5,34.8,,0,chat_finish,,19174,1000000
S1,2026-09-01 10:39:54.932,S,2.1,29.4,,0,chat_finish,,20851,1000000
S1,2026-09-01 10:43:36.468,S,2.2,23.6,,0,chat_finish,,21947,1000000
S1,2026-09-01 10:50:11.342,S,8.6,23.4,,0,chat_finish,,23171,1000000
S1,2026-09-01 10:55:42.848,S,8.0,75.2,,0,chat_finish,,33371,1000000
S1,2026-09-01 11:00:30.840,S,7.6,75.4,,0,chat_finish,,40728,1000000
S1,2026-09-01 11:03:50.467,S,8.0,24.0,,0,chat_finish,,44550,1000000
S1,2026-09-01 11:05:01.103,S,2.0,35.0,,0,chat_finish,,45390,1000000
S1,2026-09-01 11:57:46.817,S,3.4,83.4,,0,chat_finish,,46915,1000000
S1,2026-09-01 12:02:08.793,T,3.2,,43.1,0,permission_request,40.0,52185,1000000
S1,2026-09-01 12:02:08.793,T,3.2,,62.0,0,permission_request,58.9,52185,1000000
S1,2026-09-01 12:02:08.793,T,3.2,,202.5,0,permission_request,199.3,52185,1000000
S1,2026-09-01 12:02:08.793,S,3.2,368.3,,3,chat_finish,,52185,1000000
S1,2026-09-01 12:13:04.522,S,2.1,72.9,,0,chat_finish,,63775,1000000
S1,2026-09-01 12:16:02.682,S,2.1,105.3,,0,chat_finish,,68589,1000000
S1,2026-09-01 12:20:27.010,S,3.2,169.0,,0,chat_finish,,78530,1000000
S1,2026-09-01 12:23:16.246,S,2.5,76.1,,0,chat_finish,,101161,1000000
S1,2026-09-01 12:28:08.416,S,5.3,24.8,,0,chat_finish,,149198,1000000
S1,2026-09-01 12:34:42.544,S,2.5,142.4,,0,chat_finish,,150336,1000000
S1,2026-09-01 12:37:17.704,S,2.2,43.6,,0,chat_finish,,158923,1000000
S1,2026-09-01 13:23:24.766,S,11.3,74.3,,0,chat_finish,,160722,1000000
S1,2026-09-01 14:38:10.397,S,22.4,161.6,,0,chat_finish,,164259,200000
S1,2026-09-01 14:42:35.065,S,31.4,261.7,,0,chat_finish,,165673,1000000
S1,2026-09-01 14:49:17.564,S,13.5,362.7,,0,chat_finish,,179139,1000000
S1,2026-09-01 15:06:35.137,S,20.2,351.4,,0,chat_finish,,191728,1000000
S1,2026-09-01 15:32:40.512,S,15.0,540.9,,0,chat_finish,,205907,1000000
S1,2026-09-01 16:36:30.167,S,16.9,217.5,,0,chat_finish,,234667,1000000
S1,2026-09-01 16:44:37.000,S,4.4,124.8,,0,chat_finish,,241878,1000000
S1,2026-09-01 16:52:38.942,S,19.1,125.8,,0,chat_finish,,249156,200000
S1,2026-09-01 16:55:58.552,S,23.8,196.2,,0,chat_finish,,245113,1000000
S1,2026-09-01 17:06:10.471,S,21.7,116.8,,0,chat_finish,,260414,1000000
S1,2026-09-01 17:09:53.648,S,9.7,46.7,,0,chat_finish,,266981,1000000
S1,2026-09-01 17:15:37.496,S,85.9,285.4,,0,chat_finish,,268464,1000000
S1,2026-09-01 17:22:10.736,F,,1.0,,0,chat_finish,,275366,1000000
S1,2026-09-01 17:23:13.747,S,9.9,91.9,,0,chat_finish,,275366,1000000
S1,2026-09-01 18:32:34.336,S,21.4,115.7,,0,chat_finish,,279289,400000
S1,2026-09-03 00:22:39.540,S,24.5,162.3,,0,chat_finish,,284144,200000
S1,2026-09-03 00:27:26.775,S,11.1,36.3,,0,chat_finish,,290955,400000
S1,2026-09-03 00:29:19.997,S,20.9,52.9,,0,chat_finish,,291964,400000
S2,2026-09-03 00:35:26.041,S,2.9,56.7,,0,chat_finish,,,
S2,2026-09-03 00:39:49.758,S,4.4,119.9,,0,chat_finish,,32174,400000
S3,2026-09-03 11:09:26.525,S,1.8,786.8,,0,chat_finish,,,
S3,2026-09-03 11:34:40.055,S,5.8,452.9,,0,chat_finish,,72560,400000
S3,2026-09-03 12:43:17.118,S,6.5,102.6,,0,chat_finish,,121928,400000
S3,2026-09-03 12:55:56.238,S,5.0,79.0,,0,chat_finish,,128178,400000
S3,2026-09-03 13:02:16.602,S,5.1,216.0,,0,chat_finish,,132507,400000
S3,2026-09-03 13:09:26.767,S,2.7,260.6,,0,chat_finish,,150177,400000
S3,2026-09-03 13:29:18.080,S,7.9,58.9,,0,chat_finish,,154089,400000
S3,2026-09-03 13:31:29.873,S,3.5,89.2,,0,chat_finish,,158102,400000
S3,2026-09-03 13:40:45.906,F,9.0,196.8,,0,chat_finish,,162935,400000
S3,2026-09-03 13:47:16.048,S,5.0,294.3,,0,chat_finish,,172539,400000
S3,2026-09-03 13:56:43.058,F,,0.8,,0,chat_finish,,181082,1000000
S3,2026-09-03 13:58:03.210,F,,0.6,,0,chat_finish,,181082,1000000
