project_cache,session,jsonl_bytes,entries,cum_message_chars
ws-A-cache,sess-01,159,1,116
ws-B-cache,sess-02,17233,24,16484
ws-C-cache,sess-03,190452,93,186987
ws-C-cache,sess-04,16650,24,15891
ws-C-cache,sess-05,24734,51,23360
ws-D-cache,sess-06,153007,133,148317
ws-D-cache,sess-07,198464,171,194822
ws-D-cache,sess-08,91330,86,89145
ws-D-cache,sess-09,140461,145,135911
ws-D-cache,sess-10,7816,17,7341
ws-D-cache,sess-11,379526,626,364161
ws-D-cache,sess-12,62641,100,59539
ws-D-cache,sess-13,3960,6,3807
ws-D-cache,sess-14,154497,280,145925
ws-D-cache,sess-15,253155,208,245576
ws-D-cache,sess-16,133405,198,128887
ws-D-cache,sess-17,55703,65,53449
ws-E-cache,sess-18,10941,17,10487
ws-F-cache,sess-19,69761,87,66272
ws-F-cache,sess-20,23260,19,22562
